table,owner,status,write_contract
accounting_accounts,billing,active,billing::api-or-internal-owner
allotments,reservations,active,reservations::api-or-internal-owner
approval_policies,usermanagement,active,usermanagement::api-or-internal-owner
approval_policy_seats,usermanagement,active,usermanagement::api-or-internal-owner
approval_request_steps,deferred,dormant,no-runtime-writes
approval_requests,deferred,dormant,no-runtime-writes
approval_workflow_steps,deferred,dormant,no-runtime-writes
approval_workflows,deferred,dormant,no-runtime-writes
ar_allocations,deferred,dormant,no-runtime-writes
attendance,deferred,dormant,no-runtime-writes
audit_logs,audit,active,audit::api-or-internal-owner
availability_calendar,reservations,active,reservations::api-or-internal-owner
availability_locks,reservations,active,reservations::api-or-internal-owner
booking_engine_configs,deferred,dormant,no-runtime-writes
booking_engine_sites,deferred,dormant,no-runtime-writes
booking_payment_attempts,deferred,dormant,no-runtime-writes
booking_policies,deferred,dormant,no-runtime-writes
booking_session_room_nights,deferred,dormant,no-runtime-writes
booking_session_rooms,deferred,dormant,no-runtime-writes
booking_sessions,deferred,dormant,no-runtime-writes
buildings,property,active,property::api-or-internal-owner
business_profile_modules,tenantmanagement,active,tenantmanagement::api-or-internal-owner
business_profiles,tenantmanagement,active,tenantmanagement::api-or-internal-owner
cash_float_movements,pos,active,pos::api-or-internal-owner
cash_sessions,payment,active,payment::api-or-internal-owner
channel_connections,deferred,dormant,no-runtime-writes
channels,communication,active,communication::api-or-internal-owner
communication_consents,communication,active,communication::api-or-internal-owner
communication_delivery_attempts,communication,active,communication::api-or-internal-owner
communication_delivery_requests,communication,active,communication::api-or-internal-owner
communication_purpose_policies,communication,active,communication::api-or-internal-owner
communication_templates,communication,active,communication::api-or-internal-owner
companies,deferred,dormant,no-runtime-writes
contact_channels,communication,active,communication::api-or-internal-owner
contact_role_catalog,communication,active,communication::api-or-internal-owner
corporate_account_contacts,deferred,dormant,no-runtime-writes
corporate_account_holds,deferred,dormant,no-runtime-writes
corporate_account_limits,deferred,dormant,no-runtime-writes
corporate_accounts,deferred,dormant,no-runtime-writes
corporate_rate_agreements,deferred,dormant,no-runtime-writes
corporate_statement_items,deferred,dormant,no-runtime-writes
corporate_statements,deferred,dormant,no-runtime-writes
credit_note_items,billing,active,billing::api-or-internal-owner
credit_notes,billing,active,billing::api-or-internal-owner
currency_rates,deferred,dormant,no-runtime-writes
departments,property,active,property::api-or-internal-owner
device_key_history,usermanagement,active,usermanagement::api-or-internal-owner
device_login_challenges,usermanagement,active,usermanagement::api-or-internal-owner
device_pairing_approval_misses,usermanagement,active,usermanagement::api-or-internal-owner
device_pairing_requests,usermanagement,active,usermanagement::api-or-internal-owner
document_sequences,billing,active,billing::api-or-internal-owner
edge_sync_events,deferred,dormant,no-runtime-writes
employees,deferred,dormant,no-runtime-writes
ephemeral_rate_limit_counters,shared,active,shared::api-or-internal-owner
ephemeral_state_entries,shared,active,shared::api-or-internal-owner
event_booking_items,deferred,dormant,no-runtime-writes
event_bookings,deferred,dormant,no-runtime-writes
event_packages,deferred,dormant,no-runtime-writes
event_spaces,deferred,dormant,no-runtime-writes
events,deferred,dormant,no-runtime-writes
feature_flags,platformgovernance,active,platformgovernance::api-or-internal-owner
financial_control_case_events,nightaudit,active,nightaudit::api-or-internal-owner
financial_control_cases,nightaudit,active,nightaudit::api-or-internal-owner
financial_control_evidence,nightaudit,active,nightaudit::api-or-internal-owner
fiscal_corrections,fiscal,active,fiscal::api-or-internal-owner
fiscal_document_mappings,fiscal,active,fiscal::api-or-internal-owner
fiscal_provider_configs,fiscal,active,fiscal::api-or-internal-owner
fiscal_providers,fiscal,active,fiscal::api-or-internal-owner
fiscal_receipts,fiscal,active,fiscal::api-or-internal-owner
fiscal_submission_attempts,fiscal,active,fiscal::api-or-internal-owner
fiscal_submission_batches,fiscal,active,fiscal::api-or-internal-owner
floors,property,active,property::api-or-internal-owner
folio_charge_taxes,billing,active,billing::api-or-internal-owner
folio_charges,billing,active,billing::api-or-internal-owner
folio_payments,billing,active,billing::api-or-internal-owner
folios,billing,active,billing::api-or-internal-owner
groups,deferred,dormant,no-runtime-writes
guest_contacts,reservations,active,reservations::api-or-internal-owner
guest_documents,reservations,active,reservations::api-or-internal-owner
guest_feedback,reservations,active,reservations::api-or-internal-owner
guest_identity_verification_attempts,reservations,active,reservations::api-or-internal-owner
guest_preferences,reservations,active,reservations::api-or-internal-owner
guests,reservations,active,reservations::api-or-internal-owner
housekeeping_assignments,housekeeping,active,housekeeping::api-or-internal-owner
housekeeping_inspections,housekeeping,active,housekeeping::api-or-internal-owner
housekeeping_tasks,housekeeping,active,housekeeping::api-or-internal-owner
idempotency_keys,reliability,active,reliability::api-or-internal-owner
identity_links,usermanagement,active,usermanagement::api-or-internal-owner
inventory_items,inventory,active,inventory::api-or-internal-owner
inventory_locations,inventory,active,inventory::api-or-internal-owner
inventory_movement_batches,inventory,active,inventory::api-or-internal-owner
inventory_transfers,inventory,active,inventory::api-or-internal-owner
invoice_item_taxes,billing,active,billing::api-or-internal-owner
invoice_items,billing,active,billing::api-or-internal-owner
invoices,billing,active,billing::api-or-internal-owner
journal_entries,billing,active,billing::api-or-internal-owner
journal_entry_lines,billing,active,billing::api-or-internal-owner
kitchen_ticket_items,pos,active,pos::api-or-internal-owner
kitchen_tickets,pos,active,pos::api-or-internal-owner
labor_forecasts,deferred,dormant,no-runtime-writes
leave_requests,deferred,dormant,no-runtime-writes
lost_and_found,housekeeping,active,housekeeping::api-or-internal-owner
lost_and_found_custody_events,housekeeping,active,housekeeping::api-or-internal-owner
low_stock_crossings,inventory,active,inventory::api-or-internal-owner
loyalty_accounts,deferred,dormant,no-runtime-writes
loyalty_transactions,deferred,dormant,no-runtime-writes
maintenance_requests,maintenance,active,maintenance::api-or-internal-owner
maintenance_windows,maintenance,active,maintenance::api-or-internal-owner
menu_categories,pos,active,pos::api-or-internal-owner
